"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,146021,CME ,00,146 ,   13573,    9486,    4750,     163,    1790,    1870,      85,     983,    5259,     172,     251,     678,       6,   12936,   12983,     637,     590,     -94,    -220,     125,       9,     300,     505,     -68,     131,    -950,    -245,     167,     498,     -49,      25,    -175,    -119,      81,  100.0,   69.9,   35.0,    1.2,   13.2,   13.8,    0.6,    7.2,   38.7,    1.3,    1.8,    5.0,    0.0,   95.3,   95.7,    4.7,    4.3,     74,      4,      7,.,      5,      8,.,     13,     31,     12,.,.,.,     35,     55,    81.9,    33.2,    86.3,    48.0,    81.2,    33.2,    85.3,    48.0,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,146021,CME ,00,146 ,   13667,    9706,    4625,     154,    1490,    1365,     153,     852,    6209,     417,      84,     180,      55,   12911,   13158,     756,     509,   -1790,     746,    1451,    -375,    -353,    -393,    -627,    -340,     -43,    -170,      58,    -340,    -991,   -2052,   -1488,     262,    -302,  100.0,   71.0,   33.8,    1.1,   10.9,   10.0,    1.1,    6.2,   45.4,    3.1,    0.6,    1.3,    0.4,   94.5,   96.3,    5.5,    3.7,     74,.,      7,.,      6,      7,.,     12,     32,      8,.,.,.,     31,     56,    80.7,    39.5,    85.2,    53.1,    79.3,    39.3,    83.0,    51.6,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,146021,CME ,00,146 ,   15457,    8960,    3174,     529,    1843,    1758,     780,    1192,    6252,     587,      26,     520,    1046,   14963,   14646,     494,     811,    1119,     341,    -322,     376,      36,     -86,     461,     403,     417,     285,    -660,    -159,      54,    1296,    1026,    -177,      93,  100.0,   58.0,   20.5,    3.4,   11.9,   11.4,    5.0,    7.7,   40.4,    3.8,    0.2,    3.4,    6.8,   96.8,   94.8,    3.2,    5.2,     73,.,      7,.,      4,      8,.,     15,     29,     14,.,      5,.,     38,     57,    77.6,    31.8,    84.0,    45.6,    68.9,    25.7,    72.6,    36.9,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,146021,CME ,00,146 ,   14338,    8619,    3496,     153,    1807,    1844,     319,     789,    5835,     302,     686,     679,     992,   13667,   13620,     671,     718,    -606,     494,    -897,      -4,      75,     391,    -139,    -533,     400,    -441,   -1142,    -984,     992,    -698,    -682,      92,      76,  100.0,   60.1,   24.4,    1.1,   12.6,   12.9,    2.2,    5.5,   40.7,    2.1,    4.8,    4.7,    6.9,   95.3,   95.0,    4.7,    5.0,     69,.,      7,.,.,      8,.,     11,     30,     10,.,      4,.,     28,     56,    84.9,    31.6,    89.3,    45.8,    76.0,    28.2,    79.8,    41.3,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,146021,CME ,00,146 ,   14944,    8125,    4393,     157,    1732,    1453,     458,    1322,    5435,     743,    1828,    1663,       0,   14365,   14302,     579,     642,   -1962,   -1562,    -205,      61,    -921,     365,     237,     227,   -1467,     142,    -103,   -1201,       0,   -1919,   -2068,     -43,     106,  100.0,   54.4,   29.4,    1.1,   11.6,    9.7,    3.1,    8.8,   36.4,    5.0,   12.2,   11.1,    0.0,   96.1,   95.7,    3.9,    4.3,     81,.,      7,.,.,      8,.,     16,     34,     14,.,      6,      0,     33,     65,    79.7,    33.1,    85.2,    46.5,    76.8,    31.7,    81.6,    44.4,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,146021,CME ,00,146 ,   16906,    9687,    4598,      96,    2653,    1088,     221,    1095,    6902,     601,    1931,    2864,       0,   16284,   16370,     622,     536,   -1936,    -807,   -1026,     -38,      34,     150,     -78,      81,    -574,    -234,    -674,     150,     -26,   -1742,   -1676,    -194,    -260,  100.0,   57.3,   27.2,    0.6,   15.7,    6.4,    1.3,    6.5,   40.8,    3.6,   11.4,   16.9,    0.0,   96.3,   96.8,    3.7,    3.2,     81,      4,      7,.,      4,      7,.,     13,     33,     11,      6,      6,      0,     34,     60,    81.9,    42.4,    87.4,    55.3,    80.6,    42.1,    85.1,    53.9,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,146021,CME ,00,146 ,   18842,   10494,    5624,     134,    2619,     938,     299,    1014,    7476,     835,    2605,    2714,      26,   18026,   18046,     816,     796,      36,     969,     171,      48,     322,     -11,      -7,    -456,     614,    -233,    -653,    -623,       0,     -10,     -41,      46,      77,  100.0,   55.7,   29.8,    0.7,   13.9,    5.0,    1.6,    5.4,   39.7,    4.4,   13.8,   14.4,    0.1,   95.7,   95.8,    4.3,    4.2,     80,      4,      8,.,      5,      6,.,     12,     32,     15,      7,      4,.,     42,     60,    80.9,    40.2,    85.2,    57.5,    79.4,    40.2,    83.3,    57.5,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,146021,CME ,00,146 ,   18806,    9525,    5453,      86,    2297,     949,     306,    1470,    6862,    1068,    3258,    3337,      26,   18036,   18087,     770,     719,    -463,     -21,    -208,      34,    -159,      -5,     -12,     185,    -792,    -521,      -6,     958,      26,    -474,    -520,      11,      57,  100.0,   50.6,   29.0,    0.5,   12.2,    5.0,    1.6,    7.8,   36.5,    5.7,   17.3,   17.7,    0.1,   95.9,   96.2,    4.1,    3.8,     84,      4,      7,      4,      4,      6,.,     15,     33,     14,      8,      5,.,     46,     59,    78.3,    41.3,    84.2,    59.2,    76.5,    41.3,    80.5,    57.1,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,146021,CME ,00,146 ,   19269,    9546,    5661,      52,    2456,     954,     318,    1285,    7654,    1589,    3264,    2379,       0,   18510,   18607,     759,     662,     694,   -1260,      -9,    -353,    -367,     261,      58,     537,    -890,    1161,     943,     514,       0,     719,     742,     -25,     -48,  100.0,   49.5,   29.4,    0.3,   12.7,    5.0,    1.7,    6.7,   39.7,    8.2,   16.9,   12.3,    0.0,   96.1,   96.6,    3.9,    3.4,     86,      4,      7,.,      4,      8,.,     15,     36,     13,      7,      4,      0,     42,     61,    78.8,    36.0,    84.8,    56.0,    75.6,    35.7,    79.5,    51.9,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,146021,CME ,00,146 ,   18575,   10806,    5670,     405,    2823,     693,     260,     748,    8544,     428,    2321,    1865,       0,   17791,   17865,     784,     710,   -1558,   -1518,    -959,     187,     -24,     208,      38,     206,   -2122,       8,      29,    1525,    -533,   -1607,   -1648,      49,      90,  100.0,   58.2,   30.5,    2.2,   15.2,    3.7,    1.4,    4.0,   46.0,    2.3,   12.5,   10.0,    0.0,   95.8,   96.2,    4.2,    3.8,     76,      4,      7,.,      4,      5,.,      8,     35,      8,      7,      5,      0,     32,     55,    83.1,    37.2,    87.8,    56.9,    81.7,    34.9,    84.8,    54.3,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,146021,CME ,00,146 ,   20133,   12324,    6629,     218,    2847,     485,     222,     542,   10666,     420,    2292,     340,     533,   19398,   19513,     735,     620,   -1081,    -593,    -836,      59,     -53,     268,    -312,    -123,     388,     -92,     449,     -12,    -410,   -1075,    -947,      -6,    -134,  100.0,   61.2,   32.9,    1.1,   14.1,    2.4,    1.1,    2.7,   53.0,    2.1,   11.4,    1.7,    2.6,   96.3,   96.9,    3.7,    3.1,     78,      4,      8,.,      4,.,.,      7,     38,     11,      8,      6,.,     34,     61,    84.8,    37.9,    88.8,    57.1,    81.3,    37.6,    84.9,    56.1,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,146021,CME ,00,146 ,   21214,   12917,    7465,     159,    2900,     217,     534,     665,   10278,     512,    1843,     352,     943,   20473,   20460,     741,     754,     952,     155,     330,      13,    -404,      15,     383,     -49,    -848,       8,    -121,       5,     936,     921,     842,      31,     110,  100.0,   60.9,   35.2,    0.7,   13.7,    1.0,    2.5,    3.1,   48.4,    2.4,    8.7,    1.7,    4.4,   96.5,   96.4,    3.5,    3.6,     76,      4,      8,.,      4,.,.,      9,     35,      8,      8,      6,.,     35,     56,    84.2,    38.6,    87.9,    57.5,    78.8,    38.1,    81.5,    56.0,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,146021,CME ,00,146 ,   20262,   12762,    7135,     146,    3304,     202,     151,     714,   11126,     504,    1964,     347,       7,   19552,   19618,     710,     644,   -2014,    -626,     148,    -568,    -290,     -59,      17,     -34,   -1099,     -50,      82,       0,    -466,   -1935,   -2077,     -79,      63,  100.0,   63.0,   35.2,    0.7,   16.3,    1.0,    0.7,    3.5,   54.9,    2.5,    9.7,    1.7,    0.0,   96.5,   96.8,    3.5,    3.2,     80,      4,      7,.,      4,.,.,      9,     37,      8,     10,      5,.,     37,     57,    82.8,    38.4,    87.2,    57.4,    82.2,    38.3,    86.4,    56.5,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,146021,CME ,00,146 ,   22276,   13388,    6987,     714,    3594,     261,     134,     748,   12225,     554,    1882,     347,     473,   21487,   21695,     789,     581,    2393,    1762,     429,     321,     265,     192,    -145,      -9,    3359,    -133,    1156,    -774,    -847,    2370,    2402,      23,      -9,  100.0,   60.1,   31.4,    3.2,   16.1,    1.2,    0.6,    3.4,   54.9,    2.5,    8.4,    1.6,    2.1,   96.5,   97.4,    3.5,    2.6,     78,      4,      7,.,      5,.,.,     10,     34,      8,     10,      5,.,     37,     54,    80.4,    40.4,    87.2,    58.2,    77.8,    37.4,    81.8,    54.5,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,146021,CME ,00,146 ,   19883,   11626,    6558,     393,    3329,      69,     279,     757,    8866,     687,     726,    1121,    1320,   19117,   19293,     766,     590,    -245,     -51,     220,     267,    -302,     -85,     146,     -18,    -238,     121,     331,    -113,    -688,    -194,    -370,     -51,     125,  100.0,   58.5,   33.0,    2.0,   16.7,    0.3,    1.4,    3.8,   44.6,    3.5,    3.7,    5.6,    6.6,   96.1,   97.0,    3.9,    3.0,     76,      5,      7,.,      6,.,      5,     11,     33,     13,      7,      5,.,     42,     57,    80.2,    37.4,    85.9,    59.2,    73.0,    37.1,    76.9,    54.4,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,146021,CME ,00,146 ,   20128,   11677,    6338,     126,    3631,     154,     133,     775,    9104,     566,     395,    1234,    2008,   19311,   19663,     817,     465,    2701,    1415,      51,     -37,     323,     -47,     -20,     -93,    1402,    -229,    -293,      -2,    1538,    2604,    2656,      97,      45,  100.0,   58.0,   31.5,    0.6,   18.0,    0.8,    0.7,    3.9,   45.2,    2.8,    2.0,    6.1,   10.0,   95.9,   97.7,    4.1,    2.3,     76,      5,      7,.,      6,.,.,     15,     29,     12,      6,      6,.,     43,     51,    82.2,    40.9,    86.5,    61.0,    73.1,    35.4,    75.8,    51.0,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,146021,CME ,00,146 ,   17427,   10262,    6287,     163,    3308,     201,     153,     868,    7702,     795,     688,    1236,     470,   16707,   17007,     720,     420,    -599,    -517,      83,       8,      -6,    -106,     -30,    -998,     379,     610,     327,   -1583,      26,    -580,    -613,     -19,      14,  100.0,   58.9,   36.1,    0.9,   19.0,    1.2,    0.9,    5.0,   44.2,    4.6,    3.9,    7.1,    2.7,   95.9,   97.6,    4.1,    2.4,     74,      5,      8,.,      6,.,.,     12,     29,     10,      7,      5,.,     39,     52,    80.4,    39.2,    85.8,    58.4,    76.0,    39.2,    79.7,    56.8,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,146021,CME ,00,146 ,   18026,   10779,    6204,     155,    3314,     307,     183,    1866,    7323,     185,     361,    2819,     444,   17287,   17620,     739,     406,     586,      -7,     328,      65,    -365,     244,      72,     713,    1085,    -366,       1,   -1264,     403,     516,     567,      70,      19,  100.0,   59.8,   34.4,    0.9,   18.4,    1.7,    1.0,   10.4,   40.6,    1.0,    2.0,   15.6,    2.5,   95.9,   97.7,    4.1,    2.3,     75,      4,      8,.,      7,.,.,     14,     26,      5,      7,      6,.,     40,     48,    78.0,    42.3,    84.0,    64.6,    76.8,    41.2,    81.5,    62.1,"(50 Index Points)","146021","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250610,2025-06-10,146022,CME ,00,146 ,   69791,    4037,     200,     506,     288,    1088,     643,   27497,   53809,   10226,   23959,    2719,      30,   67186,   69221,    2605,     570,   21850,    1105,      50,     447,    -608,     269,     -93,    8504,   12276,   10157,    1987,   -1407,       0,   21499,   21699,     351,     151,  100.0,    5.8,    0.3,    0.7,    0.4,    1.6,    0.9,   39.4,   77.1,   14.7,   34.3,    3.9,    0.0,   96.3,   99.2,    3.7,    0.8,    223,      5,.,.,.,.,.,     15,     12,      7,    162,     24,.,    190,     44,    55.2,    80.2,    63.6,    91.7,    46.8,    69.4,    51.7,    77.6,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250603,2025-06-03,146022,CME ,00,146 ,   47941,    2932,     150,      59,     896,     819,     736,   18993,   41533,      69,   21972,    4126,      30,   45687,   47522,    2254,     419,  -82167,  -11383,   -1380,      59,     163,    -315,    -187,  -57425,  -60391,   -9489,   -3655,  -10260,      30,  -81887,  -81933,    -280,    -234,  100.0,    6.1,    0.3,    0.1,    1.9,    1.7,    1.5,   39.6,   86.6,    0.1,   45.8,    8.6,    0.1,   95.3,   99.1,    4.7,    0.9,    204,      5,.,.,      4,.,.,     14,     11,.,    139,     28,.,    167,     43,    51.2,    79.5,    60.7,    89.0,    51.2,    79.5,    60.7,    88.7,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250527,2025-05-27,146022,CME ,00,146 ,  130108,   14315,    1530,       0,     733,    1134,     923,   76418,  101924,    9558,   25627,   14386,       0,  127574,  129455,    2534,     653,   26436,    -679,   -1842,       0,    -267,   -2573,     225,   23815,   21064,     940,    2302,    8493,     -10,   26326,   26297,     110,     139,  100.0,   11.0,    1.2,    0.0,    0.6,    0.9,    0.7,   58.7,   78.3,    7.3,   19.7,   11.1,    0.0,   98.1,   99.5,    1.9,    0.5,    221,      5,.,      0,.,      4,.,     18,     10,      7,    150,     30,      0,    184,     46,    69.4,    83.5,    76.4,    92.8,    68.5,    78.9,    72.7,    86.6,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250520,2025-05-20,146022,CME ,00,146 ,  103672,   14994,    3372,       0,    1000,    3707,     698,   52603,   80860,    8618,   23325,    5893,      10,  101248,  103158,    2424,     514,   29135,   11844,    1803,   -1114,    -319,   -3276,     111,   19550,   35117,   -1533,     433,   -1966,      -1,   28971,   29141,     164,      -6,  100.0,   14.5,    3.3,    0.0,    1.0,    3.6,    0.7,   50.7,   78.0,    8.3,   22.5,    5.7,    0.0,   97.7,   99.5,    2.3,    0.5,    192,      4,.,      0,      4,      5,.,     18,      6,      4,    127,     27,.,    156,     43,    64.6,    86.4,    74.8,    93.5,    60.2,    79.0,    67.9,    86.1,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250513,2025-05-13,146022,CME ,00,146 ,   74537,    3150,    1569,    1114,    1319,    6983,     587,   33053,   45743,   10151,   22892,    7859,      11,   72277,   74017,    2260,     520,    8332,   -3100,    1469,    -256,    -238,   -1779,      93,   11802,    -761,    4388,   -4669,    5038,       1,    8021,    8193,     311,     139,  100.0,    4.2,    2.1,    1.5,    1.8,    9.4,    0.8,   44.3,   61.4,   13.6,   30.7,   10.5,    0.0,   97.0,   99.3,    3.0,    0.7,    205,      4,.,.,      4,      4,.,     17,     10,      6,    131,     34,.,    161,     54,    55.4,    71.5,    65.7,    85.5,    48.8,    58.6,    54.8,    71.1,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,146022,CME ,00,146 ,   66205,    6250,     100,    1370,    1557,    8762,     494,   21251,   46504,    5763,   27561,    2821,      10,   64256,   65824,    1949,     381,   17832,    4075,   -1994,     311,    -274,    -820,      49,   11981,   18423,    1500,     103,     356,       0,   17745,   17825,      87,       7,  100.0,    9.4,    0.2,    2.1,    2.4,   13.2,    0.7,   32.1,   70.2,    8.7,   41.6,    4.3,    0.0,   97.1,   99.4,    2.9,    0.6,    166,      4,.,.,      4,      5,.,     13,     13,      5,    100,     26,.,    126,     49,    45.6,    78.2,    67.5,    89.6,    44.5,    70.3,    59.6,    80.2,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,146022,CME ,00,146 ,   48373,    2175,    2094,    1059,    1831,    9582,     445,    9270,   28081,    4263,   27458,    2465,      10,   46511,   47999,    1862,     374,  -29691,  -14537,   -1922,    1059,    1438,   -1192,     -30,   -2532,  -13295,  -12659,   -1757,   -1382,    -110,  -29128,  -29531,    -563,    -160,  100.0,    4.5,    4.3,    2.2,    3.8,   19.8,    0.9,   19.2,   58.1,    8.8,   56.8,    5.1,    0.0,   96.2,   99.2,    3.8,    0.8,    164,.,.,.,      5,      4,.,     10,     13,.,    107,     20,.,    129,     42,    48.4,    67.9,    59.2,    87.5,    42.8,    59.3,    52.7,    76.5,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,146022,CME ,00,146 ,   78064,   16712,    4016,       0,     393,   10774,     475,   11802,   41376,   16922,   29215,    3847,     120,   75639,   77530,    2425,     534,    8478,  -12020,    3756,   -1471,       0,     272,      25,    6688,   -7588,   12826,    2031,     680,     120,    8199,    8620,     279,    -142,  100.0,   21.4,    5.1,    0.0,    0.5,   13.8,    0.6,   15.1,   53.0,   21.7,   37.4,    4.9,    0.2,   96.9,   99.3,    3.1,    0.7,    183,      4,.,      0,.,      5,.,     11,     16,      6,    113,     29,.,    138,     55,    56.5,    64.0,    71.9,    86.0,    48.0,    44.4,    54.6,    65.3,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,146022,CME ,00,146 ,   69586,   28732,     260,    1471,     393,   10502,     450,    5114,   48964,    4096,   27184,    3167,       0,   67440,   68910,    2146,     676,    6537,   20647,       1,    1471,     300,    -318,      96,  -18986,   13307,    1071,    2015,   -8878,       0,    6614,    6750,     -77,    -213,  100.0,   41.3,    0.4,    2.1,    0.6,   15.1,    0.6,    7.3,   70.4,    5.9,   39.1,    4.6,    0.0,   96.9,   99.0,    3.1,    1.0,    194,      5,.,.,.,      4,.,     11,     16,      4,    115,     39,      0,    138,     63,    58.0,    63.7,    70.6,    81.9,    53.5,    60.6,    65.1,    78.2,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,146022,CME ,00,146 ,   63049,    8085,     259,       0,      93,   10820,     354,   24100,   35657,    3025,   25169,   12045,       0,   60826,   62160,    2223,     889,   24155,    5961,   -6585,       0,    -128,     285,     -39,   20471,   26052,   -3906,    1299,    8145,       0,   23658,   23952,     497,     203,  100.0,   12.8,    0.4,    0.0,    0.1,   17.2,    0.6,   38.2,   56.6,    4.8,   39.9,   19.1,    0.0,   96.5,   98.6,    3.5,    1.4,    182,      5,.,      0,.,      5,.,     13,     14,.,    105,     38,      0,    126,     61,    60.0,    59.1,    71.4,    79.9,    55.6,    59.1,    66.9,    77.5,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,146022,CME ,00,146 ,   38894,    2124,    6844,       0,     221,   10535,     393,    3629,    9605,    6931,   23870,    3900,       0,   37168,   38208,    1726,     686, -180652, -167611,    6678,       0,    -985,     227,    -486,  -11279, -195839,    6411,   -5377,    2307,     -10, -179337, -180712,   -1315,      60,  100.0,    5.5,   17.6,    0.0,    0.6,   27.1,    1.0,    9.3,   24.7,   17.8,   61.4,   10.0,    0.0,   95.6,   98.2,    4.4,    1.8,    177,.,.,      0,.,      6,.,     11,     13,      4,    106,     34,      0,    125,     58,    45.1,    49.0,    56.2,    74.9,    32.1,    49.0,    40.3,    62.3,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,146022,CME ,00,146 ,  219546,  169735,     166,       0,    1206,   10308,     879,   14908,  205444,     520,   29247,    1593,      10,  216505,  218920,    3041,     626,   71056,   72426,   -2331,       0,     328,    1056,       0,   -2984,   74687,     364,    1236,   -2595,     -61,   71309,   71120,    -253,     -64,  100.0,   77.3,    0.1,    0.0,    0.5,    4.7,    0.4,    6.8,   93.6,    0.2,   13.3,    0.7,    0.0,   98.6,   99.7,    1.4,    0.3,    205,      5,.,      0,      4,      4,.,     13,     12,      4,    141,     25,.,    166,     46,    85.8,    94.4,    88.7,    97.5,    85.7,    94.4,    88.5,    97.1,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,146022,CME ,00,146 ,  148490,   97309,    2497,       0,     878,    9252,     879,   17892,  130757,     156,   28011,    4188,      71,  145196,  147800,    3294,     690,   39328,   40235,    1278,       0,      71,    4263,     229,   -2560,   33030,     156,     913,     420,      21,   39065,   39397,     263,     -69,  100.0,   65.5,    1.7,    0.0,    0.6,    6.2,    0.6,   12.0,   88.1,    0.1,   18.9,    2.8,    0.0,   97.8,   99.5,    2.2,    0.5,    215,      4,.,      0,      4,      4,.,     13,     13,.,    142,     33,.,    167,     54,    79.3,    89.1,    83.6,    94.5,    79.3,    89.1,    83.6,    94.4,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
"MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,146022,CME ,00,146 ,  109162,   57074,    1219,       0,     807,    4989,     650,   20452,   97727,       0,   27098,    3768,      50,  106131,  108403,    3031,     759,   55387,   51486,     973,       0,    -144,    2528,     347,    5989,   52636,   -1585,    -759,     380,       0,   55334,   55279,      53,     108,  100.0,   52.3,    1.1,    0.0,    0.7,    4.6,    0.6,   18.7,   89.5,    0.0,   24.8,    3.5,    0.0,   97.2,   99.3,    2.8,    0.7,    215,      4,.,      0,      4,.,.,     13,     12,      0,    140,     37,.,    164,     54,    73.2,    86.0,    79.2,    93.3,    73.2,    86.0,    79.2,    92.9,"(0.1 Index Points)","146022","CME ","146 ","F85","FutOnly"
